iter	Passed	Remaining
0	1	190
1	3	158
2	4	144
3	5	131
4	7	133
5	8	131
6	9	130
7	11	126
8	12	123
9	13	120
10	14	118
11	15	116
12	16	113
13	18	111
14	19	109
15	20	109
16	22	108
17	23	107
18	24	106
19	26	106
20	27	104
21	29	103
22	30	102
23	31	100
24	32	98
25	34	99
26	36	98
27	37	97
28	39	96
29	40	95
30	42	94
31	43	92
32	44	91
33	46	90
34	47	88
35	49	87
36	50	86
37	51	84
38	53	83
39	54	82
40	56	81
41	57	78
42	58	77
43	59	75
44	60	74
45	62	73
46	64	72
47	65	70
48	66	69
49	68	68
50	69	67
51	71	65
52	72	64
53	73	62
54	74	61
55	76	59
56	77	58
57	79	57
58	80	55
59	81	54
60	83	53
61	84	52
62	86	50
63	87	49
64	89	47
65	90	46
66	92	45
67	93	44
68	95	42
69	96	41
70	97	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	104	31
77	106	29
78	107	28
79	108	27
80	110	25
81	111	24
82	112	23
83	113	21
84	114	20
85	116	18
86	117	17
87	118	16
88	120	14
89	121	13
90	123	12
91	124	10
92	125	9
93	126	8
94	127	6
95	128	5
96	129	4
97	130	2
98	132	1
99	133	0
